Designator,Mid X,Mid Y,Rotation,Layer
C1,112.18,-91.99,0.0,bottom
C2,112.18,-95.0,0.0,bottom
D1,101.0,-112.0,90.0,top
J1,105.25,-109.3,180.0,top
R1,107.75,-95.0,0.0,bottom
SW1,95.0,-112.25,0.0,top
SW2,80.25,-112.25,0.0,top
U1,110.38,-92.415,0.0,top
U2,87.0,-94.0,0.0,top
